City,Location,Bedrooms,Price_INR,Area_sqft,Price_per_sqft,Estimated_Monthly_Rent,Gross_Rental_Yield_%,Annual_Rent,Annual_Expenses,NOI,Cap_Rate_%,Down_Payment,Loan_Amount,Monthly_EMI,Annual_EMI,Annual_Cash_Flow,Cash_on_Cash_%,ROI_5_Year_%
Akurdi,Dattawadi,3,8148000,,10410,32592,4.8,391104,136886,254218,3.12,1629600,6518400,58648,703773,-449555,-27.59,-137.93
Tathawade,Dattwadi,2,5862000,,,23448,4.8,281376,98482,182894,3.12,1172400,4689600,42194,506323,-323428,-27.59,-137.93
Maan,,,4358000,,2700,17432,4.8,209184,73214,135970,3.12,871600,3486400,31368,376417,-240447,-27.59,-137.93
Mundhwa,Magarpatta City,2,9497000,,11770,37988,4.8,455856,159550,296306,3.12,1899400,7597600,68358,820291,-523985,-27.59,-137.93
Mundhwa,Mundhwa Industrial Area,3,7800000,,10400,31200,4.8,374400,131040,243360,3.12,1560000,6240000,56143,673715,-430355,-27.59,-137.93
Pisoli,,2,2089000,,5080,8356,4.8,100272,35095,65177,3.12,417800,1671200,15036,180435,-115258,-27.59,-137.93
Mamurdi,,3,4347000,,8720,17388,4.8,208656,73030,135626,3.12,869400,3477600,31289,375466,-239840,-27.59,-137.93
Hinjawadi Phase 2,,3,9100000,,,36400,4.8,436800,152880,283920,3.12,1820000,7280000,65500,786001,-502081,-27.59,-137.93
Pimple Saudagar,,3.5,6046000,,8670,24184,4.8,290208,101573,188635,3.12,1209200,4836800,43518,522215,-333580,-27.59,-137.93
Upper Kharadi,,3,5977000,,12960,23908,4.8,286896,100414,186482,3.12,1195400,4781600,43021,516256,-329773,-27.59,-137.93
Baner,,5,27600000,,,110400,4.8,1324800,463680,861120,3.12,5520000,22080000,198659,2383914,-1522794,-27.59,-137.93
Maan,,3,8232000,,11810,32928,4.8,395136,138298,256838,3.12,1646400,6585600,59252,711028,-454190,-27.59,-137.93
Charholi Budruk,Chovisawadi,4,4107000,,5450,16428,4.8,197136,68998,128138,3.12,821400,3285600,29561,354737,-226598,-27.59,-137.93
Kharadi,,3,7454000,,14360,29816,4.8,357792,125227,232565,3.12,1490800,5963200,53652,643829,-411265,-27.59,-137.93
Mundhwa,Mundhwa Industrial Area,4,16900000,,18520,67600,4.8,811200,283920,527280,3.12,3380000,13520000,121643,1459715,-932435,-27.59,-137.93
Punawale,Dattwadi,2.5,5739000,,8660,22956,4.8,275472,96415,179057,3.12,1147800,4591200,41308,495699,-316642,-27.59,-137.93
Wakad,Kemse Vasti,3.5,7664000,,12200,30656,4.8,367872,128755,239117,3.12,1532800,6131200,55164,661968,-422851,-27.59,-137.93
Viman Nagar,Clover Park,3,13700000,,17090,54800,4.8,657600,230160,427440,3.12,2740000,10960000,98610,1183320,-755880,-27.59,-137.93
Baner,Lalit Estate,4,13000000,,14820,52000,4.8,624000,218400,405600,3.12,2600000,10400000,93571,1122858,-717258,-27.59,-137.93
Chinchwad,,3,8643000,,13020,34572,4.8,414864,145202,269662,3.12,1728600,6914400,62211,746528,-476866,-27.59,-137.93
Mamurdi,Saint Tukaram Nagar,3,5598000,,9090,22392,4.8,268704,94046,174658,3.12,1119600,4478400,40293,483520,-308862,-27.59,-137.93
Moshi,Moshi Gaon,2,4728000,,5280,18912,4.8,226944,79430,147514,3.12,945600,3782400,34031,408375,-260861,-27.59,-137.93
Ravet,,3,7096000,,8540,28384,4.8,340608,119213,221395,3.12,1419200,5676800,51076,612908,-391513,-27.59,-137.93
Baner,,3,8454000,,12790,33816,4.8,405792,142027,263765,3.12,1690800,6763200,60850,730203,-466438,-27.59,-137.93
Mohammed Wadi,,3,14400000,,,57600,4.8,691200,241920,449280,3.12,2880000,11520000,103648,1243781,-794501,-27.59,-137.93
Kharadi,Thite Nagar,4,5025000,,7750,20100,4.8,241200,84420,156780,3.12,1005000,4020000,36169,434028,-277248,-27.59,-137.93
Kharadi,,3,7454000,,14360,29816,4.8,357792,125227,232565,3.12,1490800,5963200,53652,643829,-411265,-27.59,-137.93
Ravet,,3,7800000,,,31200,4.8,374400,131040,243360,3.12,1560000,6240000,56143,673715,-430355,-27.59,-137.93
Sus,,3,3684000,,9100,14736,4.8,176832,61891,114941,3.12,736800,2947200,26517,318201,-203260,-27.59,-137.93
Chinchwad,,3,8643000,,13020,34572,4.8,414864,145202,269662,3.12,1728600,6914400,62211,746528,-476866,-27.59,-137.93
Wakad,Kemse Vasti,3.5,7664000,,12200,30656,4.8,367872,128755,239117,3.12,1532800,6131200,55164,661968,-422851,-27.59,-137.93
Wakad,,3,6987000,,,27948,4.8,335376,117382,217994,3.12,1397400,5589600,50291,603493,-385499,-27.59,-137.93
Pisoli,,3,2884000,,8000,11536,4.8,138432,48451,89981,3.12,576800,2307200,20758,249102,-159121,-27.59,-137.93
Pisoli,,2,2089000,,5080,8356,4.8,100272,35095,65177,3.12,417800,1671200,15036,180435,-115258,-27.59,-137.93
Wakad,Shankar Kalat Nagar,4,14200000,,12960,56800,4.8,681600,238560,443040,3.12,2840000,11360000,102209,1226506,-783466,-27.59,-137.93
Bhukum,,2,3322000,,7230,13288,4.8,159456,55810,103646,3.12,664400,2657600,23911,286933,-183287,-27.59,-137.93
Baner,,3,8454000,,12790,33816,4.8,405792,142027,263765,3.12,1690800,6763200,60850,730203,-466438,-27.59,-137.93
Hinjawadi,Hinjawadi Phase 1,2,7441000,,9780,29764,4.8,357168,125009,232159,3.12,1488200,5952800,53559,642707,-410547,-27.59,-137.93
Mamurdi,Saint Tukaram Nagar,3,5832000,,9940,23328,4.8,279936,97978,181958,3.12,1166400,4665600,41978,503731,-321773,-27.59,-137.93
Hadapsar,,3,12600000,,15490,50400,4.8,604800,211680,393120,3.12,2520000,10080000,90692,1088309,-695189,-27.59,-137.93
Mamurdi,Saint Tukaram Nagar,3,6016000,,9240,24064,4.8,288768,101069,187699,3.12,1203200,4812800,43302,519624,-331925,-27.59,-137.93
Tathawade,Dattwadi,3,7400000,,9790,29600,4.8,355200,124320,230880,3.12,1480000,5920000,53264,639165,-408285,-27.59,-137.93
Mohammed Wadi,,2,6960000,,9940,27840,4.8,334080,116928,217152,3.12,1392000,5568000,50097,601161,-384009,-27.59,-137.93
Mundhwa,Mundhwa Industrial Area,3,7800000,,10400,31200,4.8,374400,131040,243360,3.12,1560000,6240000,56143,673715,-430355,-27.59,-137.93
Kiwale,Kotwal Nagar,2,3681000,,8560,14724,4.8,176688,61841,114847,3.12,736200,2944800,26495,317942,-203094,-27.59,-137.93
Erandwane,Prabhag 36,4,28800000,,26790,115200,4.8,1382400,483840,898560,3.12,5760000,23040000,207297,2487562,-1589002,-27.59,-137.93
Punawale,Dattwadi,3,8200000,,10850,32800,4.8,393600,137760,255840,3.12,1640000,6560000,59022,708264,-452424,-27.59,-137.93
Hinjawadi,,4,11900000,,12600,47600,4.8,571200,199920,371280,3.12,2380000,9520000,85654,1027847,-656567,-27.59,-137.93
Talegaon Dabhade,Yashwant Nagar,3,3500000,,5810,14000,4.8,168000,58800,109200,3.12,700000,2800000,25192,302308,-193108,-27.59,-137.93
Upper Kharadi,,3,5977000,,12960,23908,4.8,286896,100414,186482,3.12,1195400,4781600,43021,516256,-329773,-27.59,-137.93
Ravet,,3,5521000,,10660,22084,4.8,265008,92753,172255,3.12,1104200,4416800,39739,476869,-304614,-27.59,-137.93
Mamurdi,Saint Tukaram Nagar,3,7993000,,10490,31972,4.8,383664,134282,249382,3.12,1598600,6394400,57532,690385,-441003,-27.59,-137.93
Mahalunge,,3,6854000,,11420,27416,4.8,328992,115147,213845,3.12,1370800,5483200,49334,592005,-378160,-27.59,-137.93
Kharadi,Rakshak Nagar,3,6804000,,11650,27216,4.8,326592,114307,212285,3.12,1360800,5443200,48974,587687,-375402,-27.59,-137.93
Kharadi,Tulaja Bhawani Nagar,3,12000000,,12950,48000,4.8,576000,201600,374400,3.12,2400000,9600000,86374,1036484,-662084,-27.59,-137.93
Sinhagad Road,Anand Nagar,4.5,15900000,,,63600,4.8,763200,267120,496080,3.12,3180000,12720000,114445,1373342,-877262,-27.59,-137.93
Mamurdi,Saint Tukaram Nagar,3,7993000,,10490,31972,4.8,383664,134282,249382,3.12,1598600,6394400,57532,690385,-441003,-27.59,-137.93
Ravet,,4,9000000,,,36000,4.8,432000,151200,280800,3.12,1800000,7200000,64780,777363,-496563,-27.59,-137.93
Mahalunge,,3,4832000,,11420,19328,4.8,231936,81178,150758,3.12,966400,3865600,34780,417358,-266599,-27.59,-137.93
Vadgaon Budruk,Jadhav Nagar,2,4648000,,7000,18592,4.8,223104,78086,145018,3.12,929600,3718400,33455,401465,-256447,-27.59,-137.93
Hinjawadi,Hinjawadi Phase 1,3,7300000,,,29200,4.8,350400,122640,227760,3.12,1460000,5840000,52544,630528,-402768,-27.59,-137.93
Hinjawadi,Hinjawadi Phase 1,3,8000000,,,32000,4.8,384000,134400,249600,3.12,1600000,6400000,57582,690990,-441390,-27.59,-137.93
Lohegaon,,4.5,6440000,,,25760,4.8,309120,108192,200928,3.12,1288000,5152000,46354,556247,-355319,-27.59,-137.93
Balewadi,,6,16000000,,12950,64000,4.8,768000,268800,499200,3.12,3200000,12800000,115165,1381979,-882779,-27.59,-137.93
Kharadi,Ashoka Nagar,3,7423000,,,29692,4.8,356304,124706,231598,3.12,1484600,5938400,53429,641152,-409554,-27.59,-137.93
Balewadi,,3,11600000,,13080,46400,4.8,556800,194880,361920,3.12,2320000,9280000,83495,1001935,-640015,-27.59,-137.93
Sadashiv Peth,Laxmi Park Colony,4,16900000,,18410,67600,4.8,811200,283920,527280,3.12,3380000,13520000,121643,1459715,-932435,-27.59,-137.93
Charholi Budruk,Wadmukhwadi,2,3987000,,7970,15948,4.8,191376,66982,124394,3.12,797400,3189600,28698,344372,-219978,-27.59,-137.93
Fursungi,,2,2713000,,5320,10852,4.8,130224,45578,84646,3.12,542600,2170400,19528,234332,-149686,-27.59,-137.93
Kiwale,Kotwal Nagar,3,18300000,,9670,73200,4.8,878400,307440,570960,3.12,3660000,14640000,131720,1580639,-1009679,-27.59,-137.93
Tathawade,Ram Nagar,3,8242000,,10510,32968,4.8,395616,138466,257150,3.12,1648400,6593600,59324,711892,-454742,-27.59,-137.93
Mundhwa,Magarpatta City,4,9747000,,13430,38988,4.8,467856,163750,304106,3.12,1949400,7797600,70157,841884,-537778,-27.59,-137.93
Mundhwa,Magarpatta City,2,9497000,,11770,37988,4.8,455856,159550,296306,3.12,1899400,7597600,68358,820291,-523985,-27.59,-137.93
Kiwale,Kotwal Nagar,3,6531000,,10650,26124,4.8,313488,109721,203767,3.12,1306200,5224800,47009,564107,-360339,-27.59,-137.93
Mundhwa,Koregaon Park Annexe,3,13300000,,17840,53200,4.8,638400,223440,414960,3.12,2660000,10640000,95731,1148770,-733810,-27.59,-137.93
Kiwale,Kotwal Nagar,4,9037000,,9540,36148,4.8,433776,151822,281954,3.12,1807400,7229600,65047,780559,-498605,-27.59,-137.93
Chokhi Dhani,,4,9817000,,12870,39268,4.8,471216,164926,306290,3.12,1963400,7853600,70661,847931,-541640,-27.59,-137.93
Moshi,MIDC,3,7019000,,8920,28076,4.8,336912,117919,218993,3.12,1403800,5615200,50521,606257,-387264,-27.59,-137.93
Bavdhan,Patil Nagar,3,8201000,,12180,32804,4.8,393648,137777,255871,3.12,1640200,6560800,59029,708351,-452479,-27.59,-137.93
Moshi,Bankar Vasti,3,5133000,,7100,20532,4.8,246384,86234,160150,3.12,1026600,4106400,36946,443356,-283207,-27.59,-137.93
Moshi,Tupe Vasti,2,4351000,,6880,17404,4.8,208848,73097,135751,3.12,870200,3480800,31318,375812,-240061,-27.59,-137.93
Kiwale,,3,4226000,,9440,16904,4.8,202848,70997,131851,3.12,845200,3380800,30418,365015,-233164,-27.59,-137.93
Tathawade,Dattwadi,3,6698000,,9560,26792,4.8,321504,112526,208978,3.12,1339600,5358400,48211,578531,-369553,-27.59,-137.93
Tathawade,Dattwadi,3,8000000,,13290,32000,4.8,384000,134400,249600,3.12,1600000,6400000,57582,690990,-441390,-27.59,-137.93
Undri,Shree Siddhivinayak Meera,2,4670000,,7530,18680,4.8,224160,78456,145704,3.12,934000,3736000,33614,403365,-257661,-27.59,-137.93
Kharadi,,4,9802000,,12190,39208,4.8,470496,164674,305822,3.12,1960400,7841600,70553,846635,-540813,-27.59,-137.93
Chokhi Dhani,,3,8997000,,12410,35988,4.8,431856,151150,280706,3.12,1799400,7197600,64759,777104,-496398,-27.59,-137.93
Punawale,Dattwadi,3,8200000,,10850,32800,4.8,393600,137760,255840,3.12,1640000,6560000,59022,708264,-452424,-27.59,-137.93
Kharadi,Tulaja Bhawani Nagar,4,9420000,,12350,37680,4.8,452160,158256,293904,3.12,1884000,7536000,67803,813640,-519736,-27.59,-137.93
Undri,Tarawade Vasti,3,8450000,,10070,33800,4.8,405600,141960,263640,3.12,1690000,6760000,60821,729858,-466218,-27.59,-137.93
Hadapsar,,3,12100000,,15620,48400,4.8,580800,203280,377520,3.12,2420000,9680000,87093,1045122,-667602,-27.59,-137.93
Chinchwad,MIDC,4,12500000,,17430,50000,4.8,600000,210000,390000,3.12,2500000,10000000,89973,1079671,-689671,-27.59,-137.93
Hinjawadi Phase 3,,2,6694000,,10730,26776,4.8,321312,112459,208853,3.12,1338800,5355200,48182,578185,-369333,-27.59,-137.93
Pimpri,MIDC,4,15100000,,13050,60400,4.8,724800,253680,471120,3.12,3020000,12080000,108687,1304243,-833123,-27.59,-137.93
Keshav Nagar,,3,4525000,,9180,18100,4.8,217200,76020,141180,3.12,905000,3620000,32570,390841,-249661,-27.59,-137.93
Vadgaon Budruk,Minakshi Puram,2,4526000,,9860,18104,4.8,217248,76037,141211,3.12,905200,3620800,32577,390927,-249716,-27.59,-137.93
Tathawade,Dattwadi,4,4349000,,10560,17396,4.8,208752,73063,135689,3.12,869800,3479200,31303,375639,-239950,-27.59,-137.93
Balewadi,,4,16600000,,14710,66400,4.8,796800,278880,517920,3.12,3320000,13280000,119484,1433803,-915883,-27.59,-137.93
Balewadi,,4,12600000,,,50400,4.8,604800,211680,393120,3.12,2520000,10080000,90692,1088309,-695189,-27.59,-137.93
Balewadi,,6,16000000,,12950,64000,4.8,768000,268800,499200,3.12,3200000,12800000,115165,1381979,-882779,-27.59,-137.93
Balewadi,,4,12000000,,,48000,4.8,576000,201600,374400,3.12,2400000,9600000,86374,1036484,-662084,-27.59,-137.93
Balewadi,Patil Nagar,7,15300000,,14120,61200,4.8,734400,257040,477360,3.12,3060000,12240000,110126,1321517,-844157,-27.59,-137.93
Baner,,4.5,29500000,,16810,118000,4.8,1416000,495600,920400,3.12,5900000,23600000,212335,2548024,-1627624,-27.59,-137.93
