City,Location,Bedrooms,Price_INR,Area_sqft,Price_per_sqft,Estimated_Monthly_Rent,Gross_Rental_Yield_%,Annual_Rent,Annual_Expenses,NOI,Cap_Rate_%,Down_Payment,Loan_Amount,Monthly_EMI,Annual_EMI,Annual_Cash_Flow,Cash_on_Cash_%,ROI_5_Year_%
Dhayari,Dhayari Phata,3,4369000,,8350,17476,4.8,209712,73399,136313,3.12,873800,3495200,31447,377367,-241054,-27.59,-137.93
Lohegaon,Kuthwad Colony,3,5858000,,10000,23432,4.8,281184,98414,182770,3.12,1171600,4686400,42165,505977,-323207,-27.59,-137.93
Bavdhan,Sagar Co-Operative Housing Society,3,11300000,,13220,45200,4.8,542400,189840,352560,3.12,2260000,9040000,81335,976023,-623463,-27.59,-137.93
Bavdhan,,4,9514000,,11620,38056,4.8,456672,159835,296837,3.12,1902800,7611200,68480,821759,-524923,-27.59,-137.93
Lohegaon,Kuthwad Colony,3,9239000,,11010,36956,4.8,443472,155215,288257,3.12,1847800,7391200,66501,798007,-509750,-27.59,-137.93
Lohegaon,Khese Park,3,6438000,,9850,25752,4.8,309024,108158,200866,3.12,1287600,5150400,46339,556074,-355208,-27.59,-137.93
Kothrud,Kishkinda Nagar,4,24800000,,16680,99200,4.8,1190400,416640,773760,3.12,4960000,19840000,178506,2142068,-1368308,-27.59,-137.93
Lohegaon,Khese Wasti,4,7322000,,9710,29288,4.8,351456,123010,228446,3.12,1464400,5857600,52702,632428,-403982,-27.59,-137.93
Dhayari,Dhayari Phata,4,7124000,,9110,28496,4.8,341952,119683,222269,3.12,1424800,5699200,51277,615326,-393057,-27.59,-137.93
Bavdhan,,3,10500000,,12500,42000,4.8,504000,176400,327600,3.12,2100000,8400000,75577,906924,-579324,-27.59,-137.93
Ambegaon Budruk,Shani Nagar,2,9343000,,10570,37372,4.8,448464,156962,291502,3.12,1868600,7474400,67249,806989,-515488,-27.59,-137.93
Wakad,Shankar Kalat Nagar,3,9744000,,11740,38976,4.8,467712,163699,304013,3.12,1948800,7795200,70135,841625,-537612,-27.59,-137.93
Bibwewadi,Chintamani Nagar,3,10600000,,16060,42400,4.8,508800,178080,330720,3.12,2120000,8480000,76297,915561,-584841,-27.59,-137.93
Wakad,Kemse Vasti,3,6396000,,10990,25584,4.8,307008,107453,199555,3.12,1279200,5116800,46037,552446,-352891,-27.59,-137.93
Hinjawadi Phase 3,,3,8440000,,,33760,4.8,405120,141792,263328,3.12,1688000,6752000,60749,728994,-465666,-27.59,-137.93
Hinjawadi Phase 3,,3,9255000,,12820,37020,4.8,444240,155484,288756,3.12,1851000,7404000,66616,799389,-510633,-27.59,-137.93
Mahalunge,,4.5,16300000,,14840,65200,4.8,782400,273840,508560,3.12,3260000,13040000,117324,1407891,-899331,-27.59,-137.93
Balaji Nagar,K. K. Market,3,15800000,,,63200,4.8,758400,265440,492960,3.12,3160000,12640000,113725,1364704,-871744,-27.59,-137.93
